                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1317,                 1.7805,                 1.0211,                0.86011,                0.92124,                0.91382,                0.65918,                 0.9461,                 1.3933,                0.95961,             0.00066406,             0.00066406,             0.00066406
                      2,                 1.0822,                 0.9441,                 0.9805,                0.91257,                0.87188,                0.93626,                0.68293,                0.95558,                0.99425,                0.98076,              0.0013176,              0.0013176,              0.0013176
                      3,                  1.065,                0.79095,                0.97826,                0.95531,                0.94511,                0.96847,                 0.6995,                0.96561,                 0.6736,                0.93259,              0.0019578,              0.0019578,              0.0019578
                      4,                 1.0603,                0.73332,                0.98287,                0.95273,                 0.9284,                0.95681,                0.69162,                0.95919,                0.66655,                0.93941,              0.0019406,              0.0019406,              0.0019406
                      5,                0.99371,                0.67391,                0.96467,                0.93193,                0.91494,                0.95624,                0.68551,                 0.9875,                0.67827,                0.96219,              0.0019406,              0.0019406,              0.0019406
                      6,                0.94547,                0.62896,                0.93952,                0.95708,                0.92363,                0.97376,                0.75274,                 0.8637,                0.56978,                0.92222,              0.0019208,              0.0019208,              0.0019208
                      7,                0.93805,                 0.6082,                 0.9401,                 0.9543,                0.94684,                0.97417,                0.72958,                 0.8607,                0.57001,                 0.9033,               0.001901,               0.001901,               0.001901
                      8,                0.90869,                 0.5794,                0.92983,                0.95216,                0.94996,                0.98022,                0.75683,                0.79929,                0.52688,                0.90795,              0.0018812,              0.0018812,              0.0018812
                      9,                0.90544,                0.58098,                0.93488,                0.96581,                0.94749,                0.97302,                 0.7319,                0.90867,                0.54868,                0.92396,              0.0018614,              0.0018614,              0.0018614
                     10,                0.89172,                0.56471,                0.92362,                0.95487,                 0.9595,                0.98505,                0.76047,                0.78521,                0.52973,                0.89441,              0.0018416,              0.0018416,              0.0018416
                     11,                0.87341,                0.55749,                0.92044,                 0.9638,                0.95315,                0.97836,                0.79503,                0.74115,                 0.4775,                0.88909,              0.0018218,              0.0018218,              0.0018218
                     12,                0.84693,                 0.5346,                0.90977,                0.97006,                0.95465,                0.98327,                0.78155,                0.73721,                0.48152,                0.87327,               0.001802,               0.001802,               0.001802
                     13,                0.84598,                0.52193,                0.90684,                0.97311,                0.95001,                0.98207,                0.81183,                0.69848,                0.43848,                0.86664,              0.0017822,              0.0017822,              0.0017822
                     14,                0.82155,                0.51025,                0.90438,                0.96858,                 0.9563,                0.98951,                0.81177,                0.69552,                0.44221,                0.86599,              0.0017624,              0.0017624,              0.0017624
                     15,                0.82622,                0.50918,                  0.908,                0.97705,                0.94749,                 0.9887,                0.79904,                0.69902,                0.44763,                0.87153,              0.0017426,              0.0017426,              0.0017426
                     16,                0.81982,                0.50828,                0.90335,                0.97327,                0.95583,                0.98074,                0.77453,                0.71608,                0.47368,                0.87089,              0.0017228,              0.0017228,              0.0017228
                     17,                0.81408,                0.49863,                0.89615,                0.95485,                0.96659,                0.98797,                0.81148,                0.68611,                0.43334,                0.86894,               0.001703,               0.001703,               0.001703
                     18,                 0.8019,                0.49815,                0.90316,                0.96347,                0.95704,                 0.9816,                0.79513,                0.71968,                0.45994,                0.88431,              0.0016832,              0.0016832,              0.0016832
                     19,                0.80003,                0.48953,                0.90117,                0.94917,                0.93596,                 0.9777,                 0.8103,                0.71105,                0.49137,                0.87187,              0.0016634,              0.0016634,              0.0016634
                     20,                0.79294,                0.49305,                0.89795,                0.97096,                0.95771,                0.97859,                0.80998,                0.69505,                0.42935,                0.86504,              0.0016436,              0.0016436,              0.0016436
                     21,                0.78226,                0.48059,                0.89081,                0.95464,                0.96181,                0.98722,                0.81494,                0.70487,                0.44088,                0.87318,              0.0016238,              0.0016238,              0.0016238
                     22,                0.77172,                0.47066,                0.89189,                0.97064,                0.95943,                0.98978,                 0.8284,                0.65413,                0.41449,                0.86241,               0.001604,               0.001604,               0.001604
                     23,                0.77648,                0.46984,                0.89318,                 0.9601,                0.95227,                0.98741,                0.81854,                0.64938,                0.43682,                0.86352,              0.0015842,              0.0015842,              0.0015842
